is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.708, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.381, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 4, shaped_reward: 0.002
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.513, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.907, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 3, shaped_reward: -0.042
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.686, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.059, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 4, shaped_reward: -0.009
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.513, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.907, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 3, shaped_reward: -0.042
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.454, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.863, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 5, shaped_reward: -0.043
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.497, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.913, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 1, shaped_reward: -0.043
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.904, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 1, shaped_reward: 0.028
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 0.852, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 0, shaped_reward: 1.027
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.472, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.655, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 7, shaped_reward: -0.041
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.445, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.777, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 7, shaped_reward: -0.042
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.544, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.863, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 2, shaped_reward: -0.041
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 0.867, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 0, shaped_reward: 1.026
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 0.788, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 0, shaped_reward: 1.025
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.445, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.777, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 7, shaped_reward: -0.042
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.747, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 4, shaped_reward: 0.023
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.544, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.863, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 7, shaped_reward: -0.042
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.615, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.720, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 1, shaped_reward: -0.006
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.454, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.863, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 7, shaped_reward: -0.044
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.532, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.059, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 5, shaped_reward: -0.014
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.564, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.927, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 2, shaped_reward: -0.011
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.548, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.158, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 11, shaped_reward: -0.015
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.165, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 1, shaped_reward: 0.036
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.043, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 2, shaped_reward: 0.032
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.645, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.447, stalling_penalty: 0.000, movement_bonus: 0.000, steps_without_score: 9, shaped_reward: -0.002
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.691, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 7, shaped_reward: 0.022
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.831, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.889, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 4, shaped_reward: -0.002
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.278, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 8, shaped_reward: 0.039
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.532, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.632, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 16, shaped_reward: -0.023
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.000, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 6, shaped_reward: 0.031
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.612, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.590, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 8, shaped_reward: -0.004
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.217, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 6, shaped_reward: 0.038
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.823, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 4, shaped_reward: 0.026
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 0.830, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 0, shaped_reward: 1.026
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.532, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.155, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 11, shaped_reward: -0.015
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.308, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 8, shaped_reward: 0.040
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.480, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.910, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 2, shaped_reward: -0.043
